trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,10,-51.5639646076556,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-195.73048867543312,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-15.574399523471657,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-44.9306605177511,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-83.9206106275688,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-94.2032372176819,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-97.7616097079646,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-133.84419114736812,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-80.16328828849603,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,6.84895534618307,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-82.51126190158101,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-32.551538321913114,"{0: 29, 1: 2, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-161.68485400969956,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-145.28490926861178,"{0: 27, 1: 1, 2: 2, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-39.62234081362956,"{0: 21, 1: 1, 2: 0, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,19.93256308536992,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-51.38076923288302,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-19.088975177660192,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-3.6803816578738746,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.0}",20,0,-22.005164539622967,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-21.11455284938645,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-66.85419819080853,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,22.047294302207785,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,20.900261144060323,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.41889971027441,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-2.0387681335446786,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-19.092370686920166,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,0.6972005557843983,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,15.804563702993079,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-18.19252295206074,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
