trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.83757364633788,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.6851691513293,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.35667022466514,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.98622406023015,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.56427454557425,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.5765997781734,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.21224714023941,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.8846838660825,"{0: 17, 1: 3, 2: 3, 3: 4, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-174.43493146797306,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-264.01604713671145,"{0: 9, 1: 5, 2: 5, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-164.72494931893587,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.15157271713983,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.76333222346472,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.17084034350407,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.8418573769671,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.1808019162333,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.95644359889155,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.808161057019745,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-133.0227284706715,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.9570890242587,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.48666342999167,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.15493216421669,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.7639783826653,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.363127982327,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.71539337136906,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-18.940365588321924,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.23971383480541,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-208.684850006826,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.33498594394241,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.44339329592056,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
