trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999}",20,0,-85.210832584113,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.99870083964011525}",20,0,-111.02526695077486,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.99750311740961206}",20,0,-94.82638426932097,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.99630683158377031}",30,0,-207.4530130636886,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9951119804399382}",20,0,-71.93510954395195,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.99391856225752995}",20,0,-109.60196616253653,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.99272657531802311}",20,0,-119.41788368294435,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.99153601790495627}",20,0,-54.770365670268916,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.99034688830392648}",20,0,-149.02495798324745,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.98915918480258702}",20,0,-112.13065684054817,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.98797290569064455}",25,1,-225.03382528903828,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 5}",1
12,False,"{'a': 0.1, 'e': 0.98678804925985708}",20,0,-107.24823390229491,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.98560461380403097}",25,0,-76.96795038864666,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.98442259761901907}",25,0,-116.96267157375593,"{0: 15, 1: 5, 2: 1, 3: 3, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.98324199900271791}",20,0,-163.7166819179635,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.1, 'e': 0.9820628162550652}",30,0,-52.08846113097458,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.98088504767803752}",20,0,-88.67522987549874,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.97970869157564811}",20,0,-112.15494172671552,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.97853374625394385}",25,0,-169.0380931393853,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.97736021002100326}",25,0,-163.8621411445809,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.1, 'e': 0.97618808118693401}",30,0,-176.2444854189782,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.1, 'e': 0.97501735806387035}",20,0,-61.13998679129226,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.97384803896597072}",30,0,-217.65306324781372,"{0: 14, 1: 4, 2: 7, 3: 3, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.97268012220941547}",20,0,-119.40205678564308,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.1, 'e': 0.97151360611240434}",20,0,-133.80810434392674,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.97034848899515391}",20,0,-29.351755225818515,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.96918476917989527}",20,0,-88.09740371540411,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.1, 'e': 0.96802244499087176}",25,3,-215.96737137967474,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 4}",1
29,False,"{'a': 0.1, 'e': 0.96686151475433624}",25,0,-232.09750214267333,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 5}",0
30,False,"{'a': 0.1, 'e': 0.96570197679854908}",35,0,-157.93798713779378,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.1, 'e': 0.96454382945377537}",20,0,-144.12169994443883,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.96338707105228272}",20,0,-133.09577694029207,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.9622316999283389}",30,7,-113.25320802737711,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
34,False,"{'a': 0.1, 'e': 0.96107771441820922}",30,11,-37.822194998044296,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.95992511286015436}",35,0,-139.84246437971495,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
36,False,"{'a': 0.1, 'e': 0.95877389359442788}",20,0,-95.49708925649335,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.95762405496327396}",25,13,-53.01212798900699,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.1, 'e': 0.95647559531092463}",35,0,-288.72874063041706,"{0: 16, 1: 2, 2: 10, 3: 4, 4: 3}",0
39,False,"{'a': 0.1, 'e': 0.95532851298359778}",25,0,-74.85009765830796,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
40,False,"{'a': 0.1, 'e': 0.9541828063294947}",20,0,-227.2452015284275,"{0: 7, 1: 5, 2: 3, 3: 1, 4: 4}",0
41,False,"{'a': 0.1, 'e': 0.95303847369879768}",20,0,-195.35376783080486,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
42,False,"{'a': 0.1, 'e': 0.95189551344366741}",20,0,-152.97737143641598,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.95075392391824098}",20,0,-152.5864945368344,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.94961370347862928}",25,0,-95.72382604449277,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.94847485048291469}",25,0,-142.9876660390377,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.1, 'e': 0.9473373632911487}",25,0,-106.12510397026381,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.94620124026534957}",20,0,-110.29697326177087,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.94506647976949998}",20,7,-67.15752908957697,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.94393308016954447}",25,0,-322.01221119438384,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 5}",0
50,False,"{'a': 0.1, 'e': 0.94280103983338759}",20,0,-75.82424319790161,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.94167035713089098}",20,0,-54.4563833352848,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.94054103043387138}",20,0,-52.657189619089316,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
