trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999}",35,0,-243.84112910485325,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.99989139740986455}",25,0,-187.64591985244823,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.99988243244918162}",25,0,-232.78944979253947,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.99987310482456815}",20,9,-116.84617758474766,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.99986341426475045}",25,0,-213.35382754568818,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.99985336051822393}",25,0,-78.25139182315756,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.99984294335123147}",20,0,-133.7406721306998,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.99983216254600948}",30,0,-108.2865874606818,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.99982101789925848}",20,0,-31.987226448556978,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.99980950922080314}",20,0,-33.3649054667667,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99979763633241414}",30,0,-123.08687097394645,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99978539906676711}",25,0,-111.82109579082734,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.99977279726652102}",30,0,-95.75528411550431,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.99975983078349751}",20,0,-107.45465288633807,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.99974649947794914}",25,11,-126.40459529496,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.99973280321790425}",25,0,-92.01070961071102,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9997187418785789}",25,0,-145.6549465358882,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.99970431534184723}",20,0,-69.4221926907735,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.99968952349576379}",20,0,-93.24062769187425,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.99967436623413086}",20,10,-66.65859040657851,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.99965884345610645}",35,0,-174.88786538303967,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.99964295506584722}",25,0,-57.91192212162896,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.99962670097218376}",35,0,-132.28867562709866,"{0: 21, 1: 3, 2: 8, 3: 3, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.99961008108832383}",25,0,-145.926214551119,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.99959309533158092}",25,0,-77.19902334355467,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.99957574362312529}",25,0,-195.0243000890657,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.99955802588775544}",25,0,-61.15340733110456,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9995399420536879}",20,0,-40.99086455604413,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.99952149205236351}",25,0,-178.89393100513215,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.99950267581826868}",25,0,-171.2651009050305,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.99948349328876973}",25,0,-184.9695691307929,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.99946394440396036}",20,0,-159.6244383681045,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9994440291065193}",25,0,-206.66879159513746,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.99942374734157891}",30,0,-160.18715019135425,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.99940309905660241}",25,0,-93.75042237679531,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.99938208420127006}",20,0,-163.8926308928586,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.99936070272737287}",20,0,-101.19201999245986,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.99933895458871314}",30,0,-20.74603622403579,"{0: 22, 1: 6, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.99931683974101226}",30,0,-198.76518129573776,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.99929435814182377}",20,0,-67.20267696059501,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9992715097504522}",20,0,-117.7530892693077,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.99924829452787722}",20,0,-138.47981770056754,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
