trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999}",25,6,-144.48314443604994,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.99870083964011525}",25,5,-29.74259030432861,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.99750311740961206}",20,0,-186.06092060140884,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.99630683158377031}",20,0,-143.12351280537948,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9951119804399382}",25,0,-46.31160898677885,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.99391856225752995}",20,0,-131.0686246519891,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.99272657531802311}",25,0,-99.00910043216233,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.99153601790495627}",25,0,-123.80696969828401,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.99034688830392648}",25,0,-129.95557270241494,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.98915918480258702}",20,0,-141.75586606564303,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.98797290569064455}",30,0,-110.74993856031782,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.98678804925985708}",20,0,-95.09354705080088,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.98560461380403097}",30,0,-80.78908451955063,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.98442259761901907}",20,0,-68.7276813745027,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.98324199900271791}",25,0,-158.91174202627022,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9820628162550652}",35,0,-210.08945565737915,"{0: 19, 1: 5, 2: 5, 3: 4, 4: 2}",0
