trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999}",20,0,-71.74905130474126,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.99870083964011525}",25,0,-53.06389752515166,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.99750311740961206}",20,0,-148.39965156270154,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.99630683158377031}",25,7,-91.8996463694678,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
5,False,"{'a': 0.1, 'e': 0.9951119804399382}",25,0,-178.7336273519968,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.99391856225752995}",25,0,-51.78387737647161,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.99272657531802311}",20,0,-101.04816503417793,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.99153601790495627}",25,0,-66.66070053101812,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.99034688830392648}",25,10,-27.838113367626892,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.98915918480258702}",25,0,-125.84063254673187,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.98797290569064455}",20,0,-111.5761309357312,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.98678804925985708}",25,0,-164.56348269335672,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.98560461380403097}",30,0,-219.8155562385536,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
14,False,"{'a': 0.1, 'e': 0.98442259761901907}",20,0,-16.44710544305366,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.98324199900271791}",20,0,-88.27809496275994,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9820628162550652}",25,0,-160.29646679149198,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.98088504767803752}",30,0,-151.36429965528782,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.97970869157564811}",20,0,-78.01861640024433,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.97853374625394385}",20,0,-16.39977027358952,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.1, 'e': 0.97736021002100326}",20,0,-52.48840737068487,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.97618808118693401}",20,0,-107.73316734995291,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.97501735806387035}",20,5,-46.155673079351274,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.97384803896597072}",25,0,-56.560321966535966,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.97268012220941547}",20,8,-38.674763008281495,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.1, 'e': 0.97151360611240434}",30,0,-117.32586985154,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.97034848899515391}",25,0,-117.20334443112043,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.96918476917989527}",20,0,-117.64990816207624,"{0: 7, 1: 3, 2: 9, 3: 1, 4: 0}",0
28,False,"{'a': 0.1, 'e': 0.96802244499087176}",20,0,-198.0272668497079,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.96686151475433624}",20,0,-111.73293486417008,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.96570197679854908}",25,0,-113.8309851809359,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.1, 'e': 0.96454382945377537}",20,0,-107.0395720581821,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.1, 'e': 0.96338707105228272}",20,0,-90.20383914230277,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9622316999283389}",30,1,-132.585670623505,"{0: 22, 1: 2, 2: 1, 3: 1, 4: 3}",1
34,False,"{'a': 0.1, 'e': 0.96107771441820922}",25,0,-152.3690882012296,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
35,False,"{'a': 0.1, 'e': 0.95992511286015436}",20,0,-136.15415271952986,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
36,False,"{'a': 0.1, 'e': 0.95877389359442788}",20,0,-39.05612211058213,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.95762405496327396}",25,0,-131.92796786023825,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.95647559531092463}",30,0,-74.34775300773241,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.95532851298359778}",20,0,-71.34991285129806,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.9541828063294947}",20,12,-30.23602235590014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.1, 'e': 0.95303847369879768}",25,0,-95.26234490734888,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.95189551344366741}",20,0,-51.17663403607872,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.95075392391824098}",20,0,-153.12606196206258,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.94961370347862928}",25,0,-129.73062745156287,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.94847485048291469}",20,0,-50.46849546560847,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.9473373632911487}",20,0,-101.13126014806629,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.94620124026534957}",30,0,-167.8168626638958,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.94506647976949998}",35,0,-225.12498512435448,"{0: 20, 1: 4, 2: 6, 3: 2, 4: 3}",0
49,False,"{'a': 0.1, 'e': 0.94393308016954447}",25,0,-77.18705833543122,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.94280103983338759}",20,0,-63.74043139825889,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.1, 'e': 0.94167035713089098}",25,0,-40.26400986832785,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.94054103043387138}",20,15,-4.342945540456816,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.9394130581160981}",25,0,-133.03259851971924,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.93828643855329086}",20,6,-73.65204362922539,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
55,False,"{'a': 0.1, 'e': 0.93716117012311728}",20,0,-96.84978474574325,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.93603725120519055}",25,0,-160.41211211584283,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.93491468018106727}",20,0,-99.89389265221533,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.93379345543424508}",20,2,-162.78721483493007,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 3}",1
59,False,"{'a': 0.1, 'e': 0.93267357535016004}",20,0,-103.57447033475711,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.93155503831618469}",25,0,-22.798653139500207,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.93043784272162544}",20,0,-122.45586350971725,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.1, 'e': 0.9293219869577205}",25,0,-179.1797045358018,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.92820746941763743}",20,0,-49.459594773332704,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.92709428849647069}",20,0,-23.929275094313688,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.92598244259123963}",30,0,-76.57873235179974,"{0: 18, 1: 6, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.92487193010088586}",25,4,-109.26924798554319,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 2}",1
67,False,"{'a': 0.1, 'e': 0.92376274942627123}",25,0,-130.79814581322958,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
68,False,"{'a': 0.1, 'e': 0.92265489897017539}",25,0,-159.55524060100242,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
69,False,"{'a': 0.1, 'e': 0.92154837713729354}",25,0,-81.98944005741562,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.92044318233423406}",30,0,-167.4100079712357,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
71,False,"{'a': 0.1, 'e': 0.9193393129695161}",20,0,-82.51391056496232,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.91823676745356775}",20,0,-56.280836040167316,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.91713554419872323}",25,0,-96.63113898004819,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9160356416192208}",20,0,-11.251144290867495,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.91493705813120052}",25,0,-86.55491586774096,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.91383979215270206}",25,0,-70.9988596383426,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.91274384210366222}",20,0,-105.52168952274138,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.1, 'e': 0.91164920640591274}",20,0,-39.36736156259539,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.91055588348317806}",20,0,-88.91836337998546,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.90946387176107291}",20,0,-61.94679093895842,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
81,False,"{'a': 0.1, 'e': 0.90837316966710024}",25,0,-74.8085532267119,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.90728377563064888}",25,12,-7.077971812996564,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.90619568808299122}",20,4,-83.35272441568694,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
84,False,"{'a': 0.1, 'e': 0.90510890545728095}",20,0,-88.08124049488913,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.1, 'e': 0.90402342618855103}",20,0,-158.21592121853595,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
86,False,"{'a': 0.1, 'e': 0.90293924871371101}",25,0,-146.97177813083027,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.90185637147154518}",30,0,-200.60183301091288,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
88,False,"{'a': 0.1, 'e': 0.90077479290271012}",25,0,-113.01396790431492,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
