trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999}",20,2,-102.40866877587567,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.99952}",20,0,-177.57911318568426,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9991399999999999}",20,0,-191.89244873928803,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9987599999999999}",20,0,-47.76302328190649,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9983799999999998}",20,0,-140.86945369301273,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9979999999999998}",30,0,-185.5395844987925,"{0: 13, 1: 3, 2: 11, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9976199999999997}",20,0,-77.95550946963398,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9972399999999997}",25,7,-79.69490832634538,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9968599999999996}",20,0,-90.35187162543627,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9964799999999996}",20,0,-47.82391169494416,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9960999999999995}",20,0,-204.73432332377155,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9957199999999995}",25,0,-186.55004342698655,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9953399999999994}",20,0,-138.19493971381513,"{0: 7, 1: 5, 2: 4, 3: 4, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9949599999999994}",20,0,-80.12792502490505,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9945799999999994}",20,0,-104.83054463782896,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9941999999999993}",25,0,-40.92993874412725,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9938199999999993}",20,4,-110.2745259536161,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.9934399999999992}",20,9,-90.96583863569091,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9930599999999992}",20,2,-62.12905476690802,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9926799999999991}",30,0,-120.14047413355196,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9922999999999991}",25,0,-99.27498650253966,"{0: 18, 1: 2, 2: 1, 3: 3, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.991919999999999}",30,6,-131.50089105624215,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.991539999999999}",25,0,-138.80099707082863,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9911599999999989}",25,0,-149.58917242647223,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9907799999999989}",35,0,-130.43904260671388,"{0: 27, 1: 0, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9903999999999988}",25,4,-36.89175510923245,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9900199999999988}",20,0,-88.51355560149776,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9896399999999987}",25,0,-182.31021695639708,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9892599999999987}",20,0,-114.8282303906508,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9888799999999986}",25,0,-124.5156034688339,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9884999999999986}",25,0,-195.83896156720238,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9881199999999986}",25,0,-104.3587810655834,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9877399999999985}",20,0,-59.85189135000098,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9873599999999985}",20,0,-107.29247155937719,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9869799999999984}",30,13,-51.32533299329866,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9865999999999984}",25,0,-253.25375620859558,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.9862199999999983}",25,0,-155.29014720768913,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9858399999999983}",20,0,-178.19345692451037,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9854599999999982}",30,0,-148.69690697965615,"{0: 14, 1: 2, 2: 12, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.9850799999999982}",25,0,-228.0779107051693,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
41,False,"{'a': 0.5, 'e': 0.9846999999999981}",20,0,-70.26141195017534,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9843199999999981}",20,0,-80.31271064162384,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.983939999999998}",25,0,-245.60626968838804,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.983559999999998}",25,0,-44.36895752047798,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9831799999999979}",30,0,-182.23779273679742,"{0: 13, 1: 4, 2: 11, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9827999999999979}",20,0,-42.21698368238396,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9824199999999979}",30,0,-261.05282138067577,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
48,False,"{'a': 0.5, 'e': 0.9820399999999978}",30,0,-96.33524436177942,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9816599999999978}",20,0,-20.252910502601082,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9812799999999977}",30,0,-265.23790525564954,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.9808999999999977}",20,0,-212.9646707249416,"{0: 8, 1: 3, 2: 3, 3: 3, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9805199999999976}",25,0,-189.55825252928614,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9801399999999976}",25,0,-208.94017476930435,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.9797599999999975}",20,0,-61.262650783580796,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9793799999999975}",35,7,-110.37409799619314,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.9789999999999974}",25,0,-55.18939720177573,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9786199999999974}",20,0,-106.68789516749109,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9782399999999973}",20,0,-157.51997336517968,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9778599999999973}",30,0,-93.06306262307747,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9774799999999972}",20,0,-98.95246436533205,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9770999999999972}",20,0,-140.19479973701158,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9767199999999971}",25,0,-117.37865005053575,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9763399999999971}",20,0,-105.64097663578636,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.975959999999997}",20,0,-174.91763554084113,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
