trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-285.75618961437027,"{0: 18, 1: 3, 2: 8, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-192.05995726456493,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-87.6290625270648,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,23,-12.539725912935534,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-149.69055741538455,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,14,-38.25392995158802,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-294.0924224856286,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-66.99507534761489,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-148.07020034326183,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,19,-29.498704142994495,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-112.22031251353832,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-145.4629481049104,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,5,-154.83041438375514,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 4}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,4,-66.288010437397,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-171.69021758891398,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,18,1.155012076990163,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-38.19063817021891,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,15,2.5963036960234955,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,1,3.511354434139641,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,-29.999199888616666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,15,-16.11145780417509,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,2,-88.84659266632006,"{0: 23, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,3,-106.08459269654587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 3}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,16,9.707915349361276,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,9,-17.350662333516322,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,16,29.289918578009875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,10,-21.05219441644009,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,-15.95715407105707,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,14,-41.9504354704242,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,20,-65.7053040778829,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
