trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999}",20,0,-142.31290260575466,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.99870083964011525}",25,6,-115.96360390389366,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.99750311740961206}",20,0,-75.2809314652215,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.99630683158377031}",25,0,-172.34081185900797,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.9951119804399382}",30,12,-46.01770988310892,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.99391856225752995}",20,0,-13.219884185275353,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.99272657531802311}",20,0,-98.09880675679653,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.99153601790495627}",25,0,-126.95070454599814,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.99034688830392648}",20,13,2.2494472922294735,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.98915918480258702}",20,0,-151.55260340246144,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.98797290569064455}",20,0,-83.254466445961,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.98678804925985708}",20,0,-118.28102856762058,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.98560461380403097}",25,0,-104.82819551533531,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.98442259761901907}",20,0,-75.02350288156006,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.98324199900271791}",25,15,-66.87421241365398,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.1, 'e': 0.9820628162550652}",20,0,-98.78161728206774,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.98088504767803752}",25,0,-61.37655265055346,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.97970869157564811}",25,0,-257.3810040824994,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
19,False,"{'a': 0.1, 'e': 0.97853374625394385}",25,0,-133.76323873329508,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.97736021002100326}",20,0,-117.5297800845429,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.1, 'e': 0.97618808118693401}",20,0,-117.23306160786122,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.97501735806387035}",20,0,-180.9639755486445,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
